year,value,value_zscore
2024,3.6,-1.1015563758199933
2023,3.625,-1.0889398328358866
2022,3.65,-1.0763232898517796
2021,5.349,-0.21890302865186798
2020,8.055,1.146711583947873
2019,3.669,-1.0667347171838581
2018,3.896,-0.9521765068881667
2017,4.355,-0.720536777699962
2016,4.869,-0.4611406539467225
2015,5.28,-0.25372468728800324
2014,6.168,0.19441491950747716
2013,7.375,0.8035416147801628
2012,8.069,1.1537768480189734
2011,8.949,1.597879161059539
2010,9.633,1.9430677771047062
2009,9.254,1.7518009854656444
2008,5.784,0.0006248192715935453
2007,4.622,-0.5857920986296996
2006,4.623,-0.5852874369103351
2005,5.084,-0.35263838428340244
2004,5.529,-0.12806391916629775
