year,open,high,low,close
2015,121.15910057471264,121.5410632183908,120.74287931034482,121.15130459770116
2016,108.78142896174863,109.26273497267759,108.22805601092897,108.77749453551912
2017,112.1621506849315,112.51440273972602,111.77437397260275,112.16172328767124
2018,110.43341917808219,110.71090547945205,110.1252794520548,110.42984657534247
2019,109.00853698630138,109.25017534246575,108.7618301369863,109.00659726027398
2020,106.77847267759563,107.05653278688524,106.41329234972677,106.77709016393443
2021,109.83162739726028,110.1064109589041,109.57546575342465,109.83078356164383
2022,131.438958630137,132.03555610958904,130.81447950684932,131.44079969863014
2023,140.46503616438355,141.0697811780822,139.87546830136986,140.46495126027398
2024,151.46774846575343,152.07478660273972,150.80473980821918,151.46814575342466
